Ürün Adı,Ürün Kodu,Fiyat (USD),CAS Numarası,Marka
"STOMACHER CİHAZI - Standart","BK-SHG04","2260","",Biobase
"STOMACHER CİHAZI - UV Lambalı","BK-SHG05","2810","",Biobase
"ULTRASONİK HOMOJENİZATÖR - 0.2-150 ml","UCD-150","2490","",Biobase
"ULTRASONİK HOMOJENİZATÖR - 0.2-250 ml","UCD-250","2810","",Biobase
"ULTRASONİK HOMOJENİZATÖR - 0.2-400 ml","UCD-500","3040","",Biobase
"ULTRASONİK HOMOJENİZATÖR - 0.2-500 ml","UCD-650","3190","",Biobase
"ULTRASONİK HOMOJENİZATÖR - 0.2-700 ml","UCD-950","3570","",Biobase
"ULTRASONİK HOMOJENİZATÖR - 10-1000 ml","UCD-1200","4020","",Biobase
"ULTRASONİK HOMOJENİZATÖR - 50-1500 ml","UCD-1500","4630","",Biobase
"ULTRASONİK HOMOJENİZATÖR - 50-1800 ml","UCD-1800","4980","",Biobase
"ULTRASONİK HOMOJENİZATÖR - 50-2000 ml","UCD-2000","5320","",Biobase
"JEL KART SANTRİFÜJ - 12 Kart","BKC-GC12","2480","",Biobase
"JEL KART SANTRİFÜJ - 24 Kart","BKC-GC24","4330","",Biobase
"KAN TORBASI SANTRİFÜJ - 6000 RPM","BKC-BB6","16520","",Biobase
"KAN TORBASI SANTRİFÜJ - 6000 RPM","BKC-BB6A","22570","",Biobase
"KAN TORBASI SANTRİFÜJ - 7000 RPM","BKC-BB7","40060","",Biobase
"HEMOTOKRİT SANTRİFÜJ - Cihaz","BKC-HC12A","1790","",Biobase
"KAN SANTRİFÜJ - Cihaz","BKC-TB4K","2190","",Biobase
"HAM PETROL & SU TESTİ SANTRİFÜJ - Cihaz","BKC-OIL5VII","11180","",Biobase
"JAR TESTER - 2'li","BJT-2","4270","",Biobase
"JAR TESTER - 4'lü","BJT-4","5610","",Biobase
"JAR TESTER - 6'lı","BJT-6","9220","",Biobase
"LABORATUVAR TİPİ BULAŞIK MAKİNESİ - 120 Litre","BK-LW120","20950","",Biobase
"LABORATUVAR TİPİ BULAŞIK MAKİNESİ - 220 Litre","BK-LW220","34920","",Biobase
"LABORATUVAR TİPİ BULAŞIK MAKİNESİ - 320 Litre","BK-LW320","44410","",Biobase
"LABORATUVAR TİPİ BULAŞIK MAKİNESİ - 420 Litre","BK-LW420","56540","",Biobase
"LABORATUVAR TİPİ BULAŞIK MAKİNESİ","BK-Q620F","40090","",Biobase
"LABORATUVAR TİPİ BULAŞIK MAKİNESİ","BK-Q720F","42130","",Biobase
"LABORATUVAR TİPİ BULAŞIK MAKİNESİ","BK-Q750F","46920","",Biobase
"LABORATUVAR TİPİ BULAŞIK MAKİNESİ","BK-Q920F","58140","",Biobase
"LABORATUVAR TİPİ BULAŞIK MAKİNESİ","BK-Q950F","69750","",Biobase
"MICROTOME CİHAZI","BKC-CM295","34050","",Biobase
"TİTRATÖR","BK-PT4A","10260","",Biobase
"TİTRATÖR","BK-PT4B","14050","",Biobase
"TİTRATÖR","BK-PT2","2340","",Biobase
"ISOTEX MANYETİK KARIŞTIRICI (ISITICILI) - ANALOG","SH-4","302","",ISOTEX
"ISOTEX MANYETİK KARIŞTIRICI (ISITICILI) - DİJİTAL","SH-4C","402","",ISOTEX
"ISOTEX MANYETİK KARIŞTIRICI (ISITICILI) - 120120 MM ANALOG","SH-2","160","",ISOTEX
"ISOTEX MANYETİK KARIŞTIRICI (ISITICILI) - 170170 MM ANALOG","SH-3","250","",ISOTEX
"ISOTEX MANYETİK KARIŞTIRICI (ISITICISIZ) - ANALOG","SH-4B","244","",ISOTEX
"ISOTEX ISITICI (KARIŞTIRICISIZ) - ANALOG","SH-4A","244","",ISOTEX
"ISOTEX ANALAG BALON ISITICI - 100 ml.","98-I-B","85","",ISOTEX
"ISOTEX ANALAG BALON ISITICI - 250 ml.","98-I-B","101","",ISOTEX
"ISOTEX ANALAG BALON ISITICI - 500 ml.","98-I-B","108","",ISOTEX
"ISOTEX ANALAG BALON ISITICI - 1000 ml.","98-I-B","138","",ISOTEX
"ISOTEX ANALAG BALON ISITICI - 2000 ml.","98-I-B","152","",ISOTEX
"ISOTEX ANALAG BALON ISITICI - 4000 ml.","98-I-B","420","",ISOTEX
"ISOTEX ANALAG BALON ISITICI - 5000 ml.","98-I-B","420","",ISOTEX
"ISOTEX ANALAG BALON ISITICI - 6000 ml.","98-I-B","535","",ISOTEX
"ISOTEX ANALAG BALON ISITICI - 10000 ml.","98-I-B","646","",ISOTEX
"ISOTEX ANALAG BALON ISITICI - 20000 ml.","98-I-B","704","",ISOTEX
"ISOTEX ÇOKLU BALON ISITICI - 250 ml. 3'lü","98-IV-B","210","",ISOTEX
"ISOTEX ÇOKLU BALON ISITICI - 500 ml. 3'lü","98-IV-B","250","",ISOTEX
"ISOTEX ÇOKLU BALON ISITICI - 1000 ml. 3'lü","98-IV-B","294","",ISOTEX
